comment,problem,problem_time,problem_who,review
"
几年的时间里发生的事情我写的可能比较乱我有一个戏精婆婆，颠倒黑白，总是先翻云覆雨，她什么事都倒打一耙，我一直忍到我大宝快两岁忍不了了才闹翻了，我是完全被逼疯了，头一次吵起来，我老公家亲戚不问什么原因，上来就说我，要我让着她一点，她年纪大了，让我不要计较，才五十多而已，根本不问原因的 ，我一直都知道是大的不跟小辈计较，到这就反过来了，长辈没有一点长辈的样子，我尊重不了以前总是有人说生孩子的时候一定要有亲妈在身边，可我偏偏亲妈去世的早，生孩子被扔在手术室没有人管，难道我这种外嫁的又没有亲妈在身边生孩子就该死吗？我大宝是大年初几夜里生的，当时孩子从手术室递出来我婆婆抱着就走了，我老公送我进手术室，我婆婆说冷让我老公回家给她拿衣服去了，其实医院根本不冷，想想我老公实在是孝顺的狠，我从手术室出来的时候没有家属在，我老公还没有回到医院，护士把我送出来一个家属没有，她就去喊了一个护士两个人把我送到病房，当时我失落难过我没有抱怨一句，现在我往好了想觉得是他粗心大意，到底心有多大能撇下进手术室生产的妻子和即将来临的孩子，回家来回一个多小时去给他妈拿衣服我生孩子之前和孕期跟我老公在市里租房子住，就过年了才回到他家里住，家里房子还是我大着肚子跟我老公忙前忙后找人装修的，跟我老公家人一起生活了几天时间我大宝就出生了，生那天晚饭我没有吃，因为我羊水破了躺在床上，我婆婆喊我烧晚饭，我说羊水好像破了，她觉得我装的，没在意，因为她总是说我上下楼梯这么麻利肯定不会生这么早，生那天中午全家吃的饭都是我烧的，孕期没有人照顾过，也没有给买过任何的营养品。生孩子我是叫的救护车去的医院，我自己打的电话，过年的时候救护车的声音很多人都围过来看，我已经在救护车上了我公公对我老公喊一句，到时候钱不够给他打电话他送来，多搞笑，多虚伪，生完他跑到医院看孩子空手，连个红包都没有，他根本不想出钱，他只想让邻里都听到他出钱了，不用说月子里过的很凄惨，我老公给了他妈三千块钱，她也没有一天把我当月子人照顾过，只要是剩下一点就说我坏话就要闹腾几天，我老公说我剩下的又不是她的钱买的她还是没完没了的说，月子里小孩子纸尿裤一天只换两个，看到我换了也没完没了的说浪费，我说拉了肯定要换了，她就说不哭就不要换的，她一个纸尿裤都没有买过。我坐月子她天天没事就靠在我床边讲很多例子给我，就是谁家儿媳妇娘家多有钱，结婚多少嫁妆，然后给我炫富，当时我不说什么，就觉得好笑，你这么有钱为什么你儿子结婚生孩子你一样家具家电都没有给添置，这么有钱还老是惦记人家的月子里我白天睡觉她也看不惯，故意摔门，打开门进我房间看到我睡着就使劲把门摔响，我月子一直忍着她，气的哭没有吵过，她还天天到我老公那说我难伺候，还说我什么都不吃孩子生出来才这么小，说我是个奇怪的人一说话就带着眼泪。有天早上她又跟我老公说我，我老公就数落我，我气不过就说他，我月子要请保姆你怕你妈生气给钱给你妈，让她伺候我伺候了吗？我说没有见过你妈这么欺负人的，我睡觉她摔门摔了我肯定醒了，还带邻居看孩子看了在门口大声聊天，过后还要说我没事眼睛闭起来睡觉，我说她一句我睡着了你开门进来我就醒了，她还说我要想睡觉怎么都睡的着，过后我老公说他妈说我够好了，说她能不能把嘴闭上，她还是各种气我生二宝我对我老公寒了心，我生的时候我婆婆不在义乌，她怕生孩子婆婆不在跟前人家说闲话，就千叮咛万嘱咐给我老公，我去医院了一定告诉她，我老公真体谅他妈，我住院了他不顾我心情就偷偷给他妈打电话，她妈到处给他亲戚打电话说让人家来医院帮忙抱下孩子，目的就是要让别人知道她虽然不在身边但是挂念着，我生二宝的时候是带着大宝去医院的，生完二宝我老公一个舅妈来了，也没有什么事情要她帮忙，来一会就走了！因为生大宝月子没有做好，二胎我定了月子中心，我自己出钱，我婆婆还一直不想让我去月子中心，当我面就跟我老公说了几次月子中心贵，说月子里的孩子都睡觉的时间长，住月子中心不划算，我老公说去月子中心又不是只为了孩子的，她还又说乱花钱。二胎儿子我婆婆什么都没有给她孙子买过，去月子中心看孩子还说要给我儿子买袜子没有找到合适的，她头一次说，我说我儿子袜子我买了好几双的，第二次又是说袜子，我就说出了月子中心几百米妇幼保健院对面都是母婴店，簧园市场楼上也是卖小孩子东西的，她就说她买不来，多虚伪，我婆婆走了阿姨就问我这是你婆婆啊！怎么都空手来的啊！我就想笑了！我二胎坐月子大宝还是我自己带，是没有办法，我生完二宝才几天我女儿去跟了我婆婆三天，长到四岁多就跟她奶奶睡过三天，三天还是分两回的，结果我女儿生病了，开始一直吐接着拉肚子流鼻血带到医院化验，感染了两种病毒胃肠炎了，病的好几天不像样子，我月子里下着大雨跟我老公一起带去医院的，我不去医院她就不配合医生，孩子这么严重我没有说我婆婆，她还反赖我，说是我天天带孩子都是在屋里不怎么出去玩，她一带不适应才生病的，多可笑。我火了，化验单给她看，我说胃肠炎是吃进去的，她还一点都不内疚，现在我两个小孩子，一个人带，生病的时候也没有人帮一把，想想外地嫁来的受得委屈这几年我都被逼疯了，就感觉日子实在过不下去了，我老公兄弟两个，他压根就不像亲生的，有什么花钱出力的都找他，结婚生孩子他爸妈一毛没有出过，两个孩子就从没帮着管一下，现在两个小孩我婆婆一下不管还说她把儿子养大给我了，别的她不管。我老公有什么错他爸妈都怪到我身上，这几年不知道我为他背了多少黑锅，他哪次都没有站出来过，想想这些年就这么被逼疯了就想离婚，他就不肯离婚，日子拖下去也没意思！事情太多了！列出来要时间，先写这么多吧！给没嫁的女孩子们提个醒，远嫁会失去的太多 
",,,,pingyun_
"
后悔了 
",,,,天晴晒太阳
"
愿你长命百岁，愿你儿女平安快乐长大了孝顺你听你话！愿你远离这种失败无能的家庭！ 
",,,,是你蕾
"
离了吗？？ 
",,,,一起虾扯弹
"
早点离婚吧，这种老公是没用的，会受一辈子苦 
",,,,零落幻影
"
女人嫁的不好就是受苦 
",,,,依1990
"
有钱没钱是另外一回事，有些家庭没钱，但是公婆也会出力，会尽他所能照顾月子，老公也会搭把手照顾孩子，照顾产妇！所以嫁人一定要看家庭看公婆！公婆好，老公才会好！这年头妈宝男太多了 
",,,,依1990
"
人生没有如果 
",,,,yaning1225
"
嫁到这种老公真的有苦无处说啊。 
",,,,姐姐0
"
要是找的老公家人不好，就是嫁隔壁也过不好的 
",,,,阿拉、陈
